rowname,doc_id,s_id,de_art,en_art,original,ff_count,de_sentence_wc,en_sentence_wc,wc_diff
1,1,1,Eine Volksinitiative und ein politischer Vorstoss wollen jeden Schweizer und jede Schweizerin zu einem Bürgerdienst zugunsten von Gesellschaft und Umwelt verpflichten.,A popular initiative and a move in parliament aim to make it as a mandatory law for all Swiss peoples to do a civic duty service that benefits the community and/or the environment.,de,NA,21,33,-12
2,1,2,Dieser Bürgerdienst soll das Milizsystem retten und den Pflegenotstand lösen.,This citizen service system should save the militia system and plug staff shortages in emergency and care sectors.,de,NA,10,18,-8
3,1,3,Bloss: Das Vorhaben könnte gegen das Zwangsarbeitsverbot im internationalen Recht verstossen.,"Basically: But the idea may just run counter to international law, which bans forced labour.",de,NA,11,15,-4
4,1,4,"Ein Schweizer Verein zur Förderung des Milizengagements mit dem Namen ""Service.Citoyen.ch"" will im Jahr 2020 eine Volksinitiative lancieren, die jede Schweizerin und jeden Schweizer zu einem Bürgerdienst verpflichtet.",A Swiss association for the promotion of militia service with the name of ServiceCitoyen.ch wants to launch a popular initiative in 2020 that would obligate every single Swiss man and woman citizen to perform citizen service.,de,NA,31,36,-5
5,1,5,Der Dienst könnte entweder als Militärdienst oder in Form eines gleichwertigen Milizdienstes geleistet werden.,The service could possibly be done either as military service or in the form of an equivalent service of civic duty.,de,NA,14,21,-7
6,1,6,"Das Parlament würde bestimmen, inwiefern Ausländer sich – ausserhalb der Armee – freiwillig engagieren dürften.","The parliament would determine the extent to which foreigners would be allowed to volunteer, as long as it was still outside of the army.",de,NA,15,24,-9
7,1,7,"Die Initianten wollen damit das Milizengagement aufwerten, zur Bewältigung gegenwärtiger ""kollektiver ökologischer und demografischer Herausforderungen"" beitragen sowie ""Frauen als vollwertige Bürgerinnen anerkennen"".","In doing so, the initiators hopefully will be able to improve the profile of militia service, which will then contribute to solving contemporary ""collective ecological and demographic challenges"" and in addition to this it would make sure that women would be ""recognized as full and total citizens"". 
",de,NA,26,48,-22
8,1,8,In der Schweiz sind bisher nämlich nur Schweizer Männer wehrpflichtig.,"In Switzerland, uno until this point only men with a Swiss passport are currently obliged to serve in the military.",de,NA,10,20,-10
9,1,9,Frauen dürfen aktuell auf freiwilliger Basis Militärdienst leisten.,Women are actually allowed to perform military service on a voluntary basis.,de,1,8,12,-4
10,1,10,"Mit den ""demografischen Herausforderungen"" ist vor allem der Pflegenotstand gemeint.","By ""demographic challenges"", the initiators are mainly referring to the crisis in the care sector.",de,NA,12,15,-3
11,1,11,"""Das Gesundheitssystem ist mit ernsthaften Kosten- und Personalherausforderungen konfrontiert"", sagt Noémie Roten, Co-Präsidentin von Service Citoyen.","""The health system is facing serious cost and staffing problems,"" says Noémie Roten, co-president of the association.",de,NA,18,19,-1
12,1,12,"Sie verweist auf eine Studie, wonach ein Bürgerdienst die Probleme im Bereich Langzeitpflege abmildern könne.",She references to a study that suggests civic duty could possibly alleviate these issues in long-term care.,de,NA,15,18,-3
13,2,1,Eine Volksinitiative und ein politischer Vorstoss wollen jeden Schweizer und jede Schweizerin zu einem Bürgerdienst zugunsten von Gesellschaft und Umwelt verpflichten.,A popular initiative and a parliamentary motion want to make it mandatory for all Swiss to do civic duty for the community and environment.,de,NA,21,24,-3
14,2,2,Dieser Bürgerdienst soll das Milizsystem retten und den fatalen Pflegenotstand lösen.,This would save the militia system and fill fatal staff shortages in key sectors.,de,1,11,14,-3
15,2,3,Bloss: Das Vorhaben könnte gegen das Zwangsarbeitsverbot im internationalen Recht verstossen.,"The problem is, that international law bans forced labour.",de,NA,11,9,2
16,2,4,"Ein Schweizer Verein zur Förderung des Milizengagements mit dem Namen ""Service.Citoyen.ch"" will im Jahr 2020 eine Volksinitiative lancieren, die jede Schweizerin und jeden Schweizer zu einem Bürgerdienst verpflichtet.","ServiceCitoyen.ch, a Swiss association promoting militia service, wants to launch a popular initiative in 2020 that would oblige every Swiss citizen to participate.",de,NA,31,23,8
17,2,5,Der Dienst könnte entweder als Militärdienst oder in Form eines gleichwertigen Milizdienstes geleistet werden.,This could be done either as military service or as an equivalent form of civic duty.,de,NA,14,16,-2
18,2,6,"Das Parlament würde bestimmen, inwiefern Ausländer sich – ausserhalb der Armee – freiwillig engagieren dürften.","Parliament would determine how foreigners could volunteer, army service excluded.",de,NA,15,10,5
